"titles";"years";"odometer";"vehicle_type";"engine";"gearbox";"prices";"locations"
"ToyotaWish7SEATERLOW82KMXMASSPECIAL2005";2005;82500;" Station Wagon";" 1800cc petrol engine";" automatic";7790;"Auckland"
"ToyotaWish7seaterfamilycarAlloys2005";2005;141707;" Van";" 1800cc petrol engine";" automatic";5500;"Canterbury"
"ToyotaWishBLACKCOLOUR2007";2007;92174;" Van";" 1794cc petrol engine";" automatic";7495;"Auckland"
"ToyotaWish1.8XPackage7seater2008";2008;56234;" Station Wagon";" 1800cc petrol engine";" automatic";10749;"Auckland"
"ToyotaWish***ArrivingSoon***2007";2007;94000;" Van";" 1800cc petrol engine";" automatic";7299;"Auckland"
"ToyotaWish7SeatersAeroSports1.8L2008";2008;106000;" Station Wagon";" 1800cc petrol engine";" tiptronic";9500;"Auckland"
"ToyotaWish2005";2005;101729;" RV/SUV";" 1794cc petrol engine";" automatic";5000;"Christchurch City"
"ToyotaWish2005";2005;86856;" Station Wagon";" 1794cc petrol engine";" automatic";9990;"Wellington"
"ToyotaWish1.8XFinancefrom$45pw2007";2007;132807;" Van";" 1800cc petrol engine";" automatic";5490;"Auckland"
"ToyotaWish2005";2005;105000;" RV/SUV";" 2000cc petrol engine";NA;8750;"Auckland"
"ToyotaWish2008";2008;59000;" Van";" 1800cc petrol engine";" automatic";8699;"Auckland"
"ToyotaWish2004";2004;42803;" RV/SUV";" 1794cc petrol engine";" automatic";8500;"Palmerston North"
"ToyotaWish**MegWheels**RevCamera**2005";2005;104000;" Station Wagon";" 1800cc petrol engine";" automatic";5990;"Waikato"
"ToyotaWishNewModelLowKm2009";2009;54000;" Station Wagon";" 1790cc petrol engine";" automatic";14990;"Auckland"
"ToyotaWishSUPERLOWKM`S2005";2005;35823;" Van";" 1790cc petrol engine";" automatic";7495;"Auckland"
"ToyotaWishAAAPPRAISEDALLOYS2005";2005;92900;" Station Wagon";" 1800cc petrol engine";" automatic";6800;"Auckland"
"ToyotaWishBLACKCOLOUR2006";2006;73449;" Van";" 1794cc petrol engine";" automatic";7995;"Auckland"
"ToyotaWish1800ccSPORTS2004";2004;69800;" Station Wagon";" 1800cc petrol engine";" automatic";6995;"Auckland"
"ToyotaWish1800ccSPORTS2004";2004;76140;" Station Wagon";" 1800cc petrol engine";" automatic";6800;"Auckland"
"ToyotaWishSPECIAL1.8XHIDSELECTION2009";2009;86000;" Van";" 1800cc petrol engine";" automatic";11990;"Auckland"
"ToyotaWish2006";2006;54102;" Station Wagon";" 1794cc petrol engine";" automatic";5000;"Manukau City"
"ToyotaWish2006";2006;111402;" Van";" 1790cc petrol engine";" automatic";7990;"Auckland"
"ToyotaWish7SeatFamilyCar2006";2006;100000;" Station Wagon";" 1800cc petrol engine";" automatic";6750;"Auckland"
"ToyotaWish85KLowkmVERYTIDYCONDITION2005";2005;85890;" Station Wagon";" 1990cc petrol engine";" automatic";6390;"Auckland"
"ToyotaWish**GetFinanceat8.75%**2005";2005;89000;" Station Wagon";" 1800cc petrol engine";" automatic";6700;"Auckland"
"ToyotaWishSport2004";2004;151313;" RV/SUV";" 1794cc petrol engine";" automatic";6990;"Auckland City"
"ToyotaWish1.87SeaterStationWagonCam...2004";2004;103932;" Station Wagon";" 1800cc petrol engine";" automatic";5995;"Auckland"
"ToyotaWish1.8XHIDSELECTION2010";2010;67822;" Station Wagon";" 1800cc petrol engine";" automatic";13970;"Auckland"
"ToyotaWish1.8AutoWagon2009";2009;83255;" Station Wagon";" 1800cc petrol engine";" tiptronic";16990;"Auckland"
"ToyotaWish**MagWheelsReversingCamera**2005";2005;89300;" Van";" 1800cc petrol engine";" automatic";7450;"Waikato"
"ToyotaWish2005";2005;51000;" RV/SUV";" 1794cc petrol engine";" automatic";8000;"Papakura City"
"ToyotaWish-from$36.78weekly-Taurang...2006";2006;106518;" Station Wagon";" 1800cc petrol engine";" tiptronic";6479;"Bay of Plenty"
"ToyotaWishZ6SEATER2005";2005;97086;" Van";" 2000cc petrol engine";" automatic";8999;"Waikato"
"ToyotaWishXAeroSportsPackage1.8,7S...2007";2007;102846;" Van";" 1800cc petrol engine";" automatic";9995;"Waikato"
"ToyotaWish1800ccSPORTS2004";2004;111450;" Station Wagon";" 1800cc petrol engine";" automatic";5995;"Auckland"
"ToyotaWishZ2005";2005;97329;" Van";" 2000cc petrol engine";" automatic";9995;"Waikato"
"ToyotaWish**2000cc**2004";2004;85000;" Station Wagon";" 2000cc petrol engine";" automatic";6550;"Auckland"
"ToyotaWishSpaciousVan/Wagon2004";2004;104300;" Van";" 1800cc petrol engine";" automatic";5490;"Auckland"
"ToyotaWish1800wagon,Alloy2005";2005;129000;" Station Wagon";" 1800cc petrol engine";" automatic";6050;"Auckland"
"ToyotaWishXEPackage2005";2005;113000;" Station Wagon";" 1800cc petrol engine";" automatic";5650;"Auckland"
"ToyotaWishXAerosportsPackage2006";2006;74756;" Station Wagon";" 1800cc petrol engine";" automatic";7950;"Auckland"
"ToyotaWish2.0L2005";2005;145085;" RV/SUV";" 1998cc petrol engine";" automatic";8990;"Bay of Plenty"
"ToyotaWishG7SEATER2005";2005;83897;" Van";" 2000cc petrol engine";" automatic";8999;"Waikato"
"ToyotaWish7Seat*SideA/Bags*2009";2009;91050;" Van";" 1800cc petrol engine";" tiptronic";14850;"Auckland"
"ToyotaWishNEWSHAPE,,,,LOWKM2009";2009;52310;" Van";" 1800cc petrol engine";" automatic";13995;"Auckland"
"ToyotaWish1800cc7Seater2004";2004;88110;" Van";" 1800cc petrol engine";" tiptronic";6495;"Auckland"
"ToyotaWish-ReversingCamreaONSALE!!!G...2004";2004;141000;" Station Wagon";" 1800cc petrol engine";" automatic";5300;"Auckland"
"ToyotaWishWAGON2008";2008;112534;" Van";" 1800cc";" automatic";10995;"Bay of Plenty"
"ToyotaWishGFACELIFT2005";2005;115725;" Station Wagon";" 2000cc petrol engine";" automatic";8955;"Waikato"
"ToyotaWish2004";2004;99666;" Station Wagon";" 1800cc";" automatic";6495;"Auckland"
"ToyotaWishXS7Seats2005";2005;86901;" Station Wagon";" 1800cc petrol engine";" automatic";8955;"Waikato"
"ToyotaWishGoodCondition2005";2005;105500;" Van";" 1800cc petrol engine";" automatic";5490;"Auckland"
"ToyotaWishXSPACKAGE2004";2004;35286;" Van";" 1800cc petrol engine";" automatic";9986;"Auckland"
"ToyotaWish7SEATS2005";2005;127115;" Station Wagon";" 2000cc petrol engine";" automatic";7999;"Auckland"
"ToyotaWishXAEROSPORTSPACK2005";2005;113696;" Station Wagon";" 1800cc petrol engine";" automatic";6990;"Canterbury"
"ToyotaWish2005";2005;95100;" Station Wagon";" 1800cc petrol engine";" automatic";6200;"Auckland"
"ToyotaWishXNEOEdition2005";2005;79932;" Van";" 1800cc petrol engine";" automatic";9995;"Bay of Plenty"
"ToyotaWishXEPACKAGE2005";2005;108655;" Station Wagon";" 1800cc petrol engine";" automatic";6990;"Canterbury"
"ToyotaWishXAeroSportsPack2007";2007;83440;" Van";" 1800cc petrol engine";" automatic";10995;"Bay of Plenty"
"ToyotaWish*CLEARANCESALENOWON*2005";2005;111000;" Station Wagon";" 1800cc petrol engine";" automatic";7985;"Waikato"
"ToyotaWish2005";2005;90100;" Station Wagon";" 1800cc petrol engine";" automatic";5950;"Auckland"
"ToyotaWishXS7Seats2005";2005;70424;" Station Wagon";" 1800cc petrol engine";" automatic";7955;"Waikato"
"ToyotaWishXED2004";2004;90000;" Station Wagon";" 1800cc petrol engine";" automatic";5350;"Auckland"
"ToyotaWishZ2004";2004;115344;" Van";" 2000cc petrol engine";" automatic";8999;"Waikato"
"ToyotaWish**BlackInterior**TwoDaysspe...2007";2007;60459;" Van";" 1800cc petrol engine";" automatic";7770;"Auckland"
"ToyotaWish1.8X2006";2006;95767;" Station Wagon";" 1800cc petrol engine";" automatic";8990;"Canterbury"
"ToyotaWishFaceliftmodel2007";2007;112988;" Station Wagon";" 1800cc petrol engine";" automatic";6989;"Canterbury"
"ToyotaWish7Seater2007";2007;95958;" Van";" 1800cc petrol engine";" automatic";7850;"Auckland"
"ToyotaWish2007";2007;74000;" RV/SUV";" 1794cc petrol engine";" automatic";10000;"Manukau City"
"ToyotaWish1.8PetrolXSPackage5DrWa...2005";2005;NA;" 1794cc petrol engine";" automatic";NA;12995;"Auckland"
"ToyotaWish1.8PetrolS5drWagonCVT2W...2009";2009;104137;" Station Wagon";" 1800cc petrol engine";" automatic";16995;"Auckland"
"ToyotaWish1.8XAeroSportsPackage2005";2005;120546;" Van";" 1800cc petrol engine";" automatic";8995;"Bay of Plenty"
"ToyotaWISHSPORTMODEL2005";2005;90000;" Van";" 1800cc petrol engine";" automatic";6495;"North Shore"
"ToyotaWish-MANUKAU7SEATER2005";2005;102600;" Van";" 1800cc petrol engine";" automatic";6430;"Auckland"
"ToyotaWishReversingCamera.2008";2008;82000;" Station Wagon";" 1800cc petrol engine";" automatic";9500;"Auckland"
"ToyotaWish2004";2004;118040;" Station Wagon";" 1794cc petrol engine";NA;6300;"Auckland City"
"ToyotaWish5DAUTO2005";2005;77398;" Station Wagon";" 1794cc petrol engine";" automatic";7995;"Northland"
"ToyotaWish2006";2006;112262;" Station Wagon";" 1800cc";" automatic";6995;"Wellington"
"ToyotaWish2004";2004;107000;" Station Wagon";" 1794cc petrol engine";" automatic";9990;"Wellington"
"ToyotaWish88100km2008";2008;88100;" Station Wagon";" 1800cc petrol engine";" automatic";6890;"Auckland"
"ToyotaWish2003";2003;156857;" RV/SUV";" 1794cc petrol engine";" automatic";4850;"Dunedin"
"ToyotaWishAerosportmodel2004";2004;120450;" Station Wagon";" 2000cc petrol engine";" tiptronic";6990;"Manawatu"
"ToyotaWishXAeroPackage2005";2005;67767;" Van";" 1800cc petrol engine";" automatic";7985;"Auckland"
"ToyotaWish2006";2006;112219;" Station Wagon";" 1800cc";" automatic";6995;"Wellington"
"ToyotaWishXS2005";2005;60850;" Van";" 1800cc petrol engine";" automatic";10995;"Wanganui"
"ToyotaWish2009";2009;91500;" Station Wagon";" 1800cc petrol engine";" automatic";12799;"Manawatu"
"ToyotaWishXHighSpec---SALE---2004";2004;71338;" Van";" 1800cc petrol engine";" automatic";6475;"Auckland"
"ToyotaWish2005";2005;113792;" Station Wagon";" 1794cc petrol engine";" automatic";8990;"Bay of Plenty"
"ToyotaWish2005";2005;90808;" Station Wagon";" 1794cc petrol engine";" automatic";9995;"Southland"
"ToyotaWish-MANUKAUAAAppraisedJust2...2004";2004;137832;" Van";" 1800cc petrol engine";" automatic";7430;"Auckland"
"ToyotaWish2.0GLowKMS2004";2004;57000;" Van";" 2000cc petrol engine";" automatic";8995;"Waikato"
"ToyotaWish2005";2005;100141;" Station Wagon";" 1800cc";" automatic";6995;"Wellington"
"ToyotaWish1.8XS*BudgetBranch*2004";2004;111300;" Station Wagon";" 1800cc petrol engine";" automatic";6588;"Canterbury"
"ToyotaWish2004";2004;166022;" RV/SUV";" 1794cc petrol engine";" automatic";5500;"Lower Hutt City"
"ToyotaWish**ReversingCamera**DarkInter...2007";2007;90438;" Van";" 1990cc petrol engine";" automatic";6500;"Auckland"
"ToyotaWishXS7seat2005";2005;107494;" Station Wagon";" 1800cc petrol engine";" automatic";5495;"Canterbury"
"ToyotaWishsportspackage0deposit2005";2005;109000;" Station Wagon";" 1800cc petrol engine";" automatic";3999;"Auckland"
"ToyotaWish-from$32.29weekly-Wairau...2004";2004;124478;" Station Wagon";" 1800cc petrol engine";" automatic";5479;"Auckland"
"ToyotaWishONLY098KMS**FRESHIMPORT**7SEA2004";2004;98451;" RV/SUV";" 2000cc petrol engine";" automatic";5500;"Auckland City"
"ToyotaWish2.0L7seater2004";2004;120704;" Station Wagon";" 1995cc petrol engine";" automatic";7500;"Southland"
"ToyotaWishXAeroPackage2007";2007;91523;" Van";" 1800cc petrol engine";" automatic";8990;"Bay of Plenty"
"ToyotaWish1800cc##GreatCondition##2005";2005;132439;" Van";" 1800cc petrol engine";" automatic";5490;"Auckland"
"ToyotaWishSuperLowKM2007";2007;23000;" Sedan";" 1800cc petrol engine";" tiptronic";65502;"Manukau City"
"ToyotaWish1.8XNewShape2010";2010;81525;" Van";" 1800cc petrol engine";" manual";13995;"Auckland"
"ToyotaWish2.0GNeoEdt2005";2005;164164;" RV/SUV";" 1998cc petrol engine";" automatic";5500;"Auckland City"
"ToyotaWish1.8X2007";2007;63550;" Station Wagon";" 1800cc petrol engine";" automatic";9990;"Canterbury"
"ToyotaWish2.0ZWideBody*BudgetBranch*2005";2005;122500;" Station Wagon";" 2000cc petrol engine";" automatic";6988;"Canterbury"
"ToyotaWishZAEROWEEKLYFROM$65.482004";2004;137244;" RV/SUV";" 2000cc petrol engine";" tiptronic";11999;"Auckland"
"ToyotaWish2005";2005;79145;" RV/SUV";" 1998cc petrol engine";" automatic";7960;"Auckland"
"ToyotaWish2006";2006;95628;" RV/SUV";" 1794cc petrol engine";" automatic";6000;"Waitakere City"
"ToyotaWishXS2005";2005;77245;" Station Wagon";" 1790cc petrol engine";" automatic";8777;"North Shore"
"ToyotaWish1.82008";2008;49398;" Station Wagon";" 1800cc petrol engine";" automatic";10999;"Otago"
"ToyotaWish2004";2004;104488;" Van";" 1800cc petrol engine";" automatic";9995;"Waikato"
"ToyotaWishZEdition**BestAvailable**2004";2004;82000;" Van";" 2000cc petrol engine";" tiptronic";9990;"Waikato"
"ToyotaWishXLEditionLOWKMS!REARCAMERA2008";2008;47271;" Station Wagon";" 1800cc petrol engine";" automatic";11500;"Auckland"
"ToyotaWish2.0L2008";2008;95000;" Station Wagon";" 2000cc petrol engine";" automatic";7990;"Auckland"
"ToyotaWishXHighSpec---SALE---2004";2004;73375;" Van";" 1800cc petrol engine";" automatic";6475;"Auckland"
"ToyotaWish*freewarrantyfreedelivery*2007";2007;96000;" Station Wagon";" 1800cc petrol engine";" automatic";7500;"Hawke's Bay"
"ToyotaWish2.0L2007";2007;85400;" Station Wagon";" 2000cc petrol engine";" automatic";7499;"Auckland"
"ToyotaWishXPACKAGE2006";2006;130000;" Station Wagon";" 1790cc petrol engine";" automatic";5000;"Auckland"
"ToyotaWishX43KMS!REVERSINGCAMERA/DVD2008";2008;43128;" Station Wagon";" 1800cc petrol engine";" automatic";11499;"Auckland"
"ToyotaWish7seater2007";2007;114666;" Van";" 1800cc petrol engine";NA;7995;"Manukau City"
"ToyotaWish1.8XAerosportOnly50,000km's2007";2007;50370;" Station Wagon";" 1800cc petrol engine";" automatic";12999;"Canterbury"
"ToyotaWishX2004";2004;112826;" Van";" 1800cc petrol engine";" automatic";6999;"Canterbury"
"ToyotaWish**7SEATERWITHREVERSINGCAM...2005";2005;59329;" Station Wagon";" 1798cc petrol engine";" automatic";8490;"Auckland"
"ToyotaWish7seaterlowkms2005";2005;59000;" Station Wagon";" 1794cc petrol engine";" automatic";9990;"Hawke's Bay"
"ToyotaWish7Seater2006";2006;149709;" Station Wagon";" 1998cc petrol engine";" automatic";6950;"Waikato"
"ToyotaWish18XNEOEdition2005";2005;154305;" Station Wagon";" 1800cc petrol engine";" automatic";5950;"Auckland"
"ToyotaWishXS2004";2004;116169;" Station Wagon";" 1800cc petrol engine";" automatic";7980;"Auckland"
"ToyotaWishXSPackage2005";2005;122691;" Van";" 1800cc petrol engine";" automatic";5250;"Nelson"
"ToyotaWishSmartkeyNewShape2010";2010;46000;" Station Wagon";" petrol engine";" automatic";14999;"Auckland"
"ToyotaWish1.8XSPkg*BudgetBranch*2005";2005;100500;" Station Wagon";" 1800cc petrol engine";" automatic";6688;"Canterbury"
"ToyotaWish2004";2004;206148;" Station Wagon";" 1790cc petrol engine";" automatic";5995;"Northland"
"ToyotaWish2007";2007;111673;" Station Wagon";" 1800cc";" automatic";6995;"Wellington"
"ToyotaWish2005";2005;97301;" RV/SUV";" 1794cc petrol engine";" automatic";7500;"Auckland"
"ToyotaWish2004";2004;58000;" Hatchback";" petrol engine";" automatic";8900;"Auckland"
"ToyotaWish2004";2004;123697;" RV/SUV";" 1794cc petrol engine";" automatic";5500;"Auckland City"
"ToyotaWishZ2004";2004;71720;" Other";" 2000cc petrol engine";" automatic";8900;"Nelson Bays"
"ToyotaWish2005";2005;91672;" Station Wagon";" 1790cc petrol engine";" automatic";8995;"Northland"
"ToyotaWish2.0.iCVT2005";2005;178523;" RV/SUV";" 1998cc petrol engine";" automatic";7500;"North Shore"
"ToyotaWish2005";2005;133612;" Station Wagon";" 1794cc petrol engine";" automatic";6995;"Auckland"
"ToyotaWish1.8X2005";2005;111931;" RV/SUV";" 1794cc petrol engine";" automatic";5500;"Wellington"
"ToyotaWish$9,999WITHOFFER$7,9992005";2005;67153;" Station Wagon";" 1800cc petrol engine";" automatic";9999;"Canterbury"
"ToyotaWish2.0G2004";2004;111410;" Station Wagon";" 2000cc petrol engine";" automatic";6990;"Canterbury"
"ToyotaWish2004";2004;45400;" Station Wagon";" 2000cc petrol engine";" automatic";9995;"Hawke's Bay"
"ToyotaWish2004";2004;92122;" Van";" 1800cc petrol engine";" automatic";7995;"Waikato"
"ToyotaWish2005";2005;106546;" RV/SUV";" 1794cc petrol engine";" automatic";7930;"Wellington"
"ToyotaWish7seats2004";2004;140601;" Station Wagon";" 1794cc petrol engine";" automatic";5950;"North Shore"
"ToyotaWishXPACKAGE2006";2006;130000;" Station Wagon";" 1790cc petrol engine";" automatic";5500;"Auckland"
"ToyotaWishXAEROSPORTSPACKAGE2006";2006;118000;" RV/SUV";" 1794cc petrol engine";" automatic";7600;"Levin"
"ToyotaWish1.8XAeroSport,Facelift,Black,2005";2005;85465;" Station Wagon";" 1800cc petrol engine";" automatic";6800;"Auckland"
"ToyotaWish2004";2004;124500;" RV/SUV";" 1794cc petrol engine";" automatic";7000;"Dunedin"
"ToyotaWish/X-Sport/BodyKit(2005)2004";2004;92460;" Station Wagon";" 1800cc petrol engine";" automatic";6550;"Auckland"
"ToyotaWishLowKM2007";2007;93000;" Station Wagon";" 1800cc petrol engine";" automatic";7200;"Christchurch City"
"ToyotaWish2.0G2006";2006;13930;" Station Wagon";" 2000cc petrol engine";" automatic";12990;"Canterbury"
"ToyotaWishXNeoEdition2005";2005;105000;" Station Wagon";" 1800cc petrol engine";" automatic";6985;"Auckland"
"ToyotaWish-MANUKAUAERO7SEATERAAApp...2005";2005;107912;" Hatchback";" 1800cc petrol engine";" automatic";7930;"Auckland"
"ToyotaWishlowkm,,1800cc2007";2007;39195;" Station Wagon";" 1800cc petrol engine";" automatic";9495;"Auckland"
"ToyotaWish2005";2005;101583;" Station Wagon";" 1998cc petrol engine";" automatic";6990;"Bay of Plenty"
"ToyotaWish1.8L2007";2007;61357;" Van";" 1794cc petrol engine";" automatic";30001;"North Shore"
"ToyotaWishXSSport2007";2007;92000;" Station Wagon";" 1800cc petrol engine";" automatic";8995;"Wellington"
"ToyotaWish1.8XAEROSPORTS**FACELIFT**2005";2005;121000;" Station Wagon";" 1800cc petrol engine";" automatic";5500;"Auckland City"
"ToyotaWishBrandnewtyres!!!2008";2008;96000;" Van";" 1800cc petrol engine";" automatic";9500;"Auckland"
"ToyotaWish2004";2004;126501;" Hatchback";" 1990cc petrol engine";" automatic";5750;"Auckland"
"ToyotaWish2005";2005;157312;" Station Wagon";" 1794cc petrol engine";" automatic";6000;"Tauranga"
"ToyotaWish1.8X-SportsSunroof/LowKm2005";2005;48000;" Van";" 1800cc petrol engine";" automatic";7800;"North Shore"
"ToyotaWish2004";2004;301295;" RV/SUV";" 1794cc petrol engine";" automatic";4200;"Waitakere City"
"ToyotaWish2.0G*BudgetBranch*2004";2004;81000;" Station Wagon";" 2000cc petrol engine";" automatic";6388;"Canterbury"
"ToyotaWishXAeroSport2005";2005;137000;" Van";" 1800cc petrol engine";" automatic";6990;"Palmerston North"
"ToyotaWishSports2005";2005;97225;" Station Wagon";" 1790cc petrol engine";" automatic";6000;"Waitakere City"
"ToyotaWish1.8XSPkg*BudgetBranch*2004";2004;139500;" Station Wagon";" 1800cc petrol engine";" automatic";6188;"Canterbury"
"ToyotaWishXLTD**BLACKINTERIOR**2006";2006;92000;" Hatchback";" 1800cc petrol engine";" automatic";6380;"Auckland"
"ToyotaWishWhite-Verytidy2004";2004;132967;" Station Wagon";" 1990cc petrol engine";" automatic";4000;"Waitakere City"
"ToyotaWishZ2005";2005;122223;" Van";" 2000cc petrol engine";" automatic";8988;"Auckland"
"ToyotaWish*Was$169907SeaterImmacco...2010";2010;85252;" Station Wagon";" 1790cc petrol engine";" automatic";13850;"Auckland"
"ToyotaWish2006";2006;98739;" Van";" 2000cc petrol engine";" automatic";7995;"Manukau City"
"ToyotaWish2005";2005;81000;" Van";" 1800cc petrol engine";" automatic";6990;"Auckland"
"ToyotaWish2.0iZEdition*GoodLooker*2007";2007;123228;" Station Wagon";" 2000cc petrol engine";" automatic";9900;"Wellington"
"ToyotaWish2005";2005;94508;" Station Wagon";" 2000cc petrol engine";" automatic";6920;"Nelson"
"ToyotaWishZ2004";2004;78775;" Van";" 2000cc petrol engine";" automatic";9999;"Canterbury"
"ToyotaWish1800ccVVT-iYear2006Not2005";2005;124000;" Van";" 1800cc petrol engine";" automatic";5500;"Manukau City"
"ToyotaWish``DARKTRIM``2005";2005;116479;" Van";" 1800cc petrol engine";" automatic";10995;"Auckland"
"ToyotaWish2.0G2006";2006;27880;" Station Wagon";" 2000cc petrol engine";" automatic";11990;"Canterbury"
"ToyotaWishZ6SEATER2005";2005;97448;" Station Wagon";" 1998cc petrol engine";" automatic";6995;"Waitakere City"
"ToyotaWishBrandnewtyres!!!2005";2005;111000;" Van";" 1800cc petrol engine";" automatic";6390;"Auckland"
"ToyotaWish2005";2005;98000;" Van";" 1790cc petrol engine";NA;7490;"Manukau City"
"ToyotaWish7SeaterSXPackage2005";2005;75000;" Van";" 1790cc petrol engine";NA;6990;"Manukau City"
"ToyotaWishX-LTD22,266KMS!REARCAMERA2008";2008;22266;" Station Wagon";" 1800cc petrol engine";" automatic";13450;"Auckland"
"ToyotaWish4WD1800cc72007";2007;121455;" Van";" 1800cc petrol engine";" automatic";8990;"Upper Hutt City"
"ToyotaWishxspackage2005";2005;85400;" Station Wagon";" 1800cc petrol engine";" automatic";50002;"Papakura City"
"ToyotaWish2005";2005;91659;" Station Wagon";" 1800cc petrol engine";" automatic";6350;"Auckland"
"ToyotaWish2007";2007;121981;" Station Wagon";" 1790cc petrol engine";" automatic";8590;"Hamilton"
"ToyotaWishGRacey7Seater2005";2005;117700;" Station Wagon";" 1998cc petrol engine";" automatic";10995;"Southland"
"ToyotaWishReversingcamera!!!2008";2008;101000;" Van";" 1800cc petrol engine";" automatic";9200;"Auckland"
"ToyotaWish2.0GVeryLowK's*ONLY59,815km*2010";2010;59815;" Station Wagon";" 2000cc petrol engine";" automatic";20950;"Auckland"
"ToyotaWish2008";2008;154921;" Van";" 2000cc petrol engine";NA;7995;"Manukau City"
"ToyotaWish7SEATER!LOWKMS2004";2004;65500;" Station Wagon";" 1800cc petrol engine";" automatic";6000;"Manukau City"
"ToyotaWish*Was$179902010";2010;76245;" Station Wagon";" 1790cc petrol engine";" automatic";16850;"Auckland"
"ToyotaWish2005";2005;92357;" RV/SUV";" 1794cc petrol engine";" automatic";7950;"Waikato"
